Designator,Mid X,Mid Y,Layer,Rotation
C1,110.100004,-119.350029,T,90.0
C1,62.399999,-119.350029,T,90.0
C1,110.100004,-107.650024,T,90.0
C1,62.399999,-107.650024,T,90.0
C1,110.100004,-95.950019,T,90.0
C1,62.399999,-95.950019,T,90.0
C1,110.100004,-84.250014,T,90.0
C1,62.399999,-84.250014,T,90.0
C1,110.100004,-72.550009,T,90.0
C1,62.399999,-72.550009,T,90.0
C1,110.100004,-60.850004,T,90.0
C1,62.399999,-60.850004,T,90.0
C1,110.100004,-49.149999,T,90.0
C1,62.399999,-49.149999,T,90.0
J1,97.700004,-114.550029,T,0.0
J1,49.999999,-114.550029,T,0.0
J1,97.700004,-102.850024,T,0.0
J1,49.999999,-102.850024,T,0.0
J1,97.700004,-91.150019,T,0.0
J1,49.999999,-91.150019,T,0.0
J1,97.700004,-79.450014,T,0.0
J1,49.999999,-79.450014,T,0.0
J1,97.700004,-67.750009,T,0.0
J1,49.999999,-67.750009,T,0.0
J1,97.700004,-56.050004,T,0.0
J1,49.999999,-56.050004,T,0.0
J1,97.700004,-44.349999,T,0.0
J1,49.999999,-44.349999,T,0.0
J2,88.000004,-122.550029,T,0.0
J2,40.299999,-122.550029,T,0.0
J2,88.000004,-110.850024,T,0.0
J2,40.299999,-110.850024,T,0.0
J2,88.000004,-99.150019,T,0.0
J2,40.299999,-99.150019,T,0.0
J2,88.000004,-87.450014,T,0.0
J2,40.299999,-87.450014,T,0.0
J2,88.000004,-75.750009,T,0.0
J2,40.299999,-75.750009,T,0.0
J2,88.000004,-64.050004,T,0.0
J2,40.299999,-64.050004,T,0.0
J2,88.000004,-52.349999,T,0.0
J2,40.299999,-52.349999,T,0.0
R1,104.300004,-119.550029,T,270.0
R1,56.599999,-119.550029,T,270.0
R1,104.300004,-107.850024,T,270.0
R1,56.599999,-107.850024,T,270.0
R1,104.300004,-96.150019,T,270.0
R1,56.599999,-96.150019,T,270.0
R1,104.300004,-84.450014,T,270.0
R1,56.599999,-84.450014,T,270.0
R1,104.300004,-72.750009,T,270.0
R1,56.599999,-72.750009,T,270.0
R1,104.300004,-61.050004,T,270.0
R1,56.599999,-61.050004,T,270.0
R1,104.300004,-49.349999,T,270.0
R1,56.599999,-49.349999,T,270.0
R2,106.100004,-119.550029,T,270.0
R2,58.399999,-119.550029,T,270.0
R2,106.100004,-107.850024,T,270.0
R2,58.399999,-107.850024,T,270.0
R2,106.100004,-96.150019,T,270.0
R2,58.399999,-96.150019,T,270.0
R2,106.100004,-84.450014,T,270.0
R2,58.399999,-84.450014,T,270.0
R2,106.100004,-72.750009,T,270.0
R2,58.399999,-72.750009,T,270.0
R2,106.100004,-61.050004,T,270.0
R2,58.399999,-61.050004,T,270.0
R2,106.100004,-49.349999,T,270.0
R2,58.399999,-49.349999,T,270.0
R3,108.100004,-119.350029,T,90.0
R3,60.399999,-119.350029,T,90.0
R3,108.100004,-107.650024,T,90.0
R3,60.399999,-107.650024,T,90.0
R3,108.100004,-95.950019,T,90.0
R3,60.399999,-95.950019,T,90.0
R3,108.100004,-84.250014,T,90.0
R3,60.399999,-84.250014,T,90.0
R3,108.100004,-72.550009,T,90.0
R3,60.399999,-72.550009,T,90.0
R3,108.100004,-60.850004,T,90.0
R3,60.399999,-60.850004,T,90.0
R3,108.100004,-49.149999,T,90.0
R3,60.399999,-49.149999,T,90.0
REF**,128.850003,-124.550033,T,0.0
REF**,128.123753,-124.550033,T,0.0
REF**,127.397504,-124.550033,T,0.0
REF**,126.671254,-124.550033,T,0.0
REF**,125.945005,-124.550033,T,0.0
REF**,125.218756,-124.550033,T,0.0
REF**,124.492506,-124.550033,T,0.0
REF**,123.766257,-124.550033,T,0.0
REF**,123.040008,-124.550033,T,0.0
REF**,128.850003,-45.649998,T,0.0
REF**,128.123753,-45.649998,T,0.0
REF**,127.397504,-45.649998,T,0.0
REF**,126.671254,-45.649998,T,0.0
REF**,125.945005,-45.649998,T,0.0
REF**,125.218756,-45.649998,T,0.0
REF**,124.492506,-45.649998,T,0.0
REF**,123.766257,-45.649998,T,0.0
REF**,123.040008,-45.649998,T,0.0
REF**,24.659998,-124.550033,T,0.0
REF**,23.933748,-124.550033,T,0.0
REF**,23.207499,-124.550033,T,0.0
REF**,22.481249,-124.550033,T,0.0
REF**,21.755,-124.550033,T,0.0
REF**,21.028751,-124.550033,T,0.0
REF**,20.302501,-124.550033,T,0.0
REF**,19.576252,-124.550033,T,0.0
REF**,18.850003,-124.550033,T,0.0
REF**,24.659998,-45.649998,T,0.0
REF**,23.933748,-45.649998,T,0.0
REF**,23.207499,-45.649998,T,0.0
REF**,22.481249,-45.649998,T,0.0
REF**,21.755,-45.649998,T,0.0
REF**,21.028751,-45.649998,T,0.0
REF**,20.302501,-45.649998,T,0.0
REF**,19.576252,-45.649998,T,0.0
REF**,18.850003,-45.649998,T,0.0
REF**,27.769277,-48.999999,T,0.0
REF**,27.654584,-49.999999,T,0.0
REF**,27.769277,-50.999999,T,0.0
REF**,72.23072,-50.999999,T,0.0
REF**,72.345413,-49.999998,T,0.0
REF**,72.23072,-48.999999,T,0.0
REF**,75.469282,-48.999999,T,0.0
REF**,75.354589,-49.999999,T,0.0
REF**,75.469282,-50.999999,T,0.0
REF**,119.930725,-50.999999,T,0.0
REF**,120.045418,-49.999998,T,0.0
REF**,119.930725,-48.999999,T,0.0
REF**,27.769277,-60.700004,T,0.0
REF**,27.654584,-61.700004,T,0.0
REF**,27.769277,-62.700004,T,0.0
REF**,72.23072,-62.700004,T,0.0
REF**,72.345413,-61.700003,T,0.0
REF**,72.23072,-60.700004,T,0.0
REF**,75.469282,-60.700004,T,0.0
REF**,75.354589,-61.700004,T,0.0
REF**,75.469282,-62.700004,T,0.0
REF**,119.930725,-62.700004,T,0.0
REF**,120.045418,-61.700003,T,0.0
REF**,119.930725,-60.700004,T,0.0
REF**,27.769277,-72.400009,T,0.0
REF**,27.654584,-73.400009,T,0.0
REF**,27.769277,-74.400009,T,0.0
REF**,72.23072,-74.400009,T,0.0
REF**,72.345413,-73.400008,T,0.0
REF**,72.23072,-72.400009,T,0.0
REF**,75.469282,-72.400009,T,0.0
REF**,75.354589,-73.400009,T,0.0
REF**,75.469282,-74.400009,T,0.0
REF**,119.930725,-74.400009,T,0.0
REF**,120.045418,-73.400008,T,0.0
REF**,119.930725,-72.400009,T,0.0
REF**,27.769277,-84.100014,T,0.0
REF**,27.654584,-85.100014,T,0.0
REF**,27.769277,-86.100014,T,0.0
REF**,72.23072,-86.100014,T,0.0
REF**,72.345413,-85.100013,T,0.0
REF**,72.23072,-84.100014,T,0.0
REF**,75.469282,-84.100014,T,0.0
REF**,75.354589,-85.100014,T,0.0
REF**,75.469282,-86.100014,T,0.0
REF**,119.930725,-86.100014,T,0.0
REF**,120.045418,-85.100013,T,0.0
REF**,119.930725,-84.100014,T,0.0
REF**,27.769277,-95.800019,T,0.0
REF**,27.654584,-96.800019,T,0.0
REF**,27.769277,-97.800019,T,0.0
REF**,72.23072,-97.800019,T,0.0
REF**,72.345413,-96.800018,T,0.0
REF**,72.23072,-95.800019,T,0.0
REF**,75.469282,-95.800019,T,0.0
REF**,75.354589,-96.800019,T,0.0
REF**,75.469282,-97.800019,T,0.0
REF**,119.930725,-97.800019,T,0.0
REF**,120.045418,-96.800018,T,0.0
REF**,119.930725,-95.800019,T,0.0
REF**,27.769277,-107.500024,T,0.0
REF**,27.654584,-108.500024,T,0.0
REF**,27.769277,-109.500024,T,0.0
REF**,72.23072,-109.500024,T,0.0
REF**,72.345413,-108.500023,T,0.0
REF**,72.23072,-107.500024,T,0.0
REF**,75.469282,-107.500024,T,0.0
REF**,75.354589,-108.500024,T,0.0
REF**,75.469282,-109.500024,T,0.0
REF**,119.930725,-109.500024,T,0.0
REF**,120.045418,-108.500023,T,0.0
REF**,119.930725,-107.500024,T,0.0
REF**,27.769277,-119.200029,T,0.0
REF**,27.654584,-120.200029,T,0.0
REF**,27.769277,-121.200029,T,0.0
REF**,72.23072,-121.200029,T,0.0
REF**,72.345413,-120.200028,T,0.0
REF**,72.23072,-119.200029,T,0.0
REF**,75.469282,-119.200029,T,0.0
REF**,75.354589,-120.200029,T,0.0
REF**,75.469282,-121.200029,T,0.0
REF**,119.930725,-121.200029,T,0.0
REF**,120.045418,-120.200028,T,0.0
REF**,119.930725,-119.200029,T,0.0
REF**,63.499999,-54.350999,T,0.0
REF**,64.249999,-54.350999,T,0.0
REF**,64.999999,-54.350999,T,0.0
REF**,65.749999,-54.350999,T,0.0
REF**,66.499999,-54.350999,T,0.0
REF**,66.499999,-45.648999,T,0.0
